英文,音标,中文
billion,/bIljn/,num. 十亿
native,/neItIv/,adj. 出生地的；本地的；土著的 n. 本地人
attitude,/tItju:d; NAmE tItu:d/,n. 态度；看法
reference,/refrns/,n. 指称关系；参考
refer,/rIf:(r)/,vi. 提到；参考；查阅 vt. 查询；叫……求助于
refer to,,指的是；描述；提到；查阅
system,/sIstm/,n. 体系；制度；系统
despite,/dIspaIt/,prep. 即使；尽管
ups and downs,,浮沉；兴衰；荣辱
factor,/fkt(r)/,n. 因素；要素
based,/beIst/,adj. 以（某事）为基础的； 以……为重要部分（或特征）的
base,/beIs/,vt. 以……为据点；以……为基础 n. 底部；根据
date back,,(to …) 追溯到
bone,/bn/,n. 骨头；骨（质）
shell,/el/,n. 壳；壳状物
symbol,/sImbl/,n. 符号；象征
carve,/k:v/,vt. & vi. 雕刻
dynasty,/dInsti; NAmE daI-/,n. 王朝；朝代
variety,/vraIti/,n. （植物、语言等的）变体；异体；多样化
major,/meId(r)/,adj. 主要的；重要的；大的 n. 主修课程；主修学生 vi. 主修；专门研究
"no matter where, who, what, etc.",,不论……；不管……
dialect,/daIlekt/,n. 地方话；方言
means,/mi:nz/,n. 方式；方法；途径
classic,/klsIk/,adj. 传统的；最优秀的；典型的 n. 经典作品；名著
regard,/rIg:d/,n. 尊重；关注 vt. 把……视为；看待
character,/krkt(r)/,n. 文字；符号；角色；品质；特点
calligraphy,/klIgrfi/,n. 书法；书法艺术
global,/glbl/,adj. 全球的；全世界的
affair,/fe(r)/,n. 公共事务；事件；关系
appreciate,/pri:ieIt/,vt. 欣赏；重视；感激；领会 vi. 增值
specific,/spsIfIk/,adj. 特定的；明确的；具体的
CE,/si: i:/,（= Common Era）公元
struggle,/strgl/,n. & vi. 斗争；奋斗；搏斗
tongue,/tN/,n. 舌头；语言
point of view,,观点；看法
semester,/sImest(r)/,n. 学期
petrol,/petrl/,n.（NAmE gas）汽油
subway,/sbweI/,n.（BrE underground）地铁
apartment,/p:tmnt/,
n.（especially NAmE）公寓套房,,
pants,/pnts/,n. [pl.]（BrE） 内裤；短裤； （especially NAmE）裤子
beg,/beg/,vt. 恳求；祈求；哀求
equal,/i:kwl/,n. 同等的人；相等物 adj. 相同的；同样的
gap,/gp/,n. 间隔；开口；差距
demand,/dIm:nd/,n. 要求；需求 vt. 强烈要求；需要 vi. 查问
vocabulary,/vkbjlri; NAmE -leri/,n. 词汇
description,/dIskrIpn/,n. 描写（文字）；形容
relate,/rIleIt/,vt. 联系；讲述
relate to,,与……相关；涉及；谈到
Korean,/kri:n/,n. 朝鲜（或韩国）语； 朝鲜（或韩国）人 adj. 朝鲜（或韩国）的
Danish,/deInI/,n. 丹麦语；丹麦人 adj. 丹麦的
Denmark,/denm:k/,丹麦（国家名）
Arabic,/rbIk/,n. 阿拉伯语 adj. 阿拉伯语的；阿拉伯文学的
FIFA,/fi:f/,abbr. ( 源自法语) 国际足联； 国际足球联合会
