英文,音标,中文
precise,/prsas/,adj. 准确的；精确的
precisely,/prsasli/,adv. 准确地；精确地；的确如此
Christianity,/krstinti/,n. 基督教
realistic,/lstk/,adj. 现实的；逼真的
realism,/lzm/,n. 逼真；现实主义；务实作风
realist,/rlst/,n. 现实主义画家（或作家等）；现实主义者
primitive,/prmtv/,adj. 发展水平低的；原始的；远古的 n. 文艺复兴前的艺术家（或作品）
two-dimensional,/damennl/,adj. 二维的
dimension,/damenn/,n. 维；规模；范围
in particular,,尤其；特别
set apart from,,使与众不同；使突出；使优于……
humanistic,/hjumnstk/,adj. 人文主义的
humanity,//,n. 人性；人道；（统称）人类
breakthrough,/brekr/,n. 重大进展；突破
influential,/nfluenl/,adj. 有很大影响力的；有支配力的
reputation,/repjuten/,n. 名誉；名声
noble,/nbl/,n. 贵族成员；出身高贵的人 adj. 崇高的；宏伟的；高贵的
rank,/rk/,n. 地位；级别；行列 vt. & vi. 把……分等级；使排成行
purchase,/pts/,vt. 购买；采购 n. 购买；购买的东西
mythology,/mldi/,n. 神话；虚幻的想法
client,/klant/,n. 委托人；当事人；客户
photography,/ftrfi/,n. 照相术；摄影
Impressionism,/mprenzm/,n. 印象主义；印象派（绘画风格） 注: 黑体部分为
emerge,/md/,vi. & vt. 出现；浮现；暴露
sunrise,/snraIz/,n. 日出
convey,/knve/,vt. 表达；传递（思想、感情等）；传送
subjective,/sbdektv/,adj. 主观的
outer,/at(r)/,adj. 外表的；外边的；外围的
subsequent,/sbskwnt/,adj. 随后的；后来的；之后的
Cubism,/kjubzm/,n. 立体主义；立体派
fond,/fnd/,adj. 喜爱
be fond of,,喜爱；喜欢
fine art,,(also fine arts) 美术（尤指绘画和雕塑）
sculpture,/sklpt(r)/,n. 雕像；雕刻品；雕刻术
sculptor,//,n. 雕刻家；雕塑家
visual,/vul/,adj. 视觉的；视力的
water lily,//,睡莲
pond,/pnd/,n. 池塘；水池
arched,//,adj. 拱形的；弓形的
arch,//,vt. & vi. 呈弧形横跨；（使）成弓形 n. 拱；拱形结构；拱门
investment,/nvestmnt/,n. 投资额；投资；（时间、精力的）投入
bride,/brad/,n. 新娘
permanent,/pmnnt/,adj. 永久的；永恒的；长久的
memorial,/mmril/,n. 纪念碑（或像等）；纪念物；纪念品 adj. 纪念的；悼念的
humble,/hmbl/,adj. 谦逊的；虚心的；卑微的
criticise (NAmE -ize),/krtsaz/,vi. & vt. 批评；指责；评价
criticism,//,n. 批评；指责；评论
representative,/reprzenttv/,adj. 典型的；有代表性的 n. 代表
ink,/k/,n. 墨水；墨汁；油墨
animation,/nmen/,n. （电脑、录像）动画制作； 动画片
frame,/frem/,n. 画面；框架 vt. 给……镶框；陷害
symphony,/smfni/,n. 交响乐；交响曲
decline,/dklan/,n. （数量、价格、质量等的）减少；下降；衰落 vi. & vt. 减少；下降；衰落；谢绝
exhibition,/eksbn/,n. 展览；（技能、感情或行为的）表演
bronze,/brnz/,n. 青铜；深红褐色 adj. 青铜色的；深红褐色的
ceramic,/srmk/,n. 陶瓷制品；制陶艺术
vase,/vz; NAmE  /,n. 花瓶；装饰瓶
artistic,/tstk/,adj. 艺术的；艺术家的
entry,/entri/,n. 加入；进入；参与
civil,/svl/,adj. 国民的；民用的；民事的
recognition,/reknn/,n. 承认；认出；赞誉
Buddhist,/bdst/,adj. 佛教的 n. 佛教徒
Buddhism,/bdzm/,n. 佛教
expansion,/kspnn/,n. 扩张；扩展；扩大
bring … to life,,赋予……生命；使……鲜活起来
guarantee,/:/,vt. 保证；确保；肯定……必然发生 n. 保证；保修单；担保物
contemporary,/kntemprri/,adj. 当代的；现代的；属同时期的 n. 同代人；同辈人
worthy,/wi/,adj. 值得……的；有价值的
be worthy of,,值得
The Middle Ages,,中世纪
Giotto di Bondone,/dt d bndne/,乔托·迪·邦多纳（意大利画家、雕刻家、建筑师）
the Renaissance,/rnesns; NAmE rensns/,文艺复兴（时期）
Masaccio,/mst/,马萨乔（意大利现实主义画家
Leonardo da Vinci,/lind d vnt/,莱昂纳多·达·芬奇（意大利艺术家、学者、发明家）
Michelangelo,/maklndl/,米开朗琪罗（意大利雕塑家、画家、建筑师、诗人）
Raphael,/rfel/,拉斐尔（意大利画家）
Rembrandt,/rembrnt/,伦勃朗（荷兰画家）
Claude Monet,/kld mne/,） 克劳德·莫奈（法国印象派画家）
Renoir,/renw/,雷诺阿（法国印象派画家）
Picasso,/pks/,毕加索（西班牙画家、雕塑家）
Giverny,/dI/,吉维尼（法国小镇）
Tadpoles,/tdpls/,Searching for
Mother  《,,小蝌蚪找妈妈》
The Cowboy’s Flute,/flut/,《牧笛》
Feeling from Mountain and Water,,《山水情》
Clearing After Snow on a Mountain Pass,,《函关雪霁图》（明代画家唐寅画作）
