英文,音标,中文
fitness,/fItns/,n. 健康；健壮；适合
soccer,/sk(r)/,n. 足球；足球运动
stadium,/steIdim/,n.（pl. stadiums or stadia） 体育场；运动场
boxing,/bksIN/,n. 拳击（运动）
badminton,/bdmIntn/,n. 羽毛球运动
marathon,/mrn/,n. 马拉松赛跑
event,/Ivent/,n. 比赛项目；大事；公开活动
come along,,跟随；到达；进步；赶快
ski,/ski:/,adj. 滑雪的 vi. 滑雪
host,/hst/,vt. 主办；主持 n. 主人；东道主；节目主持人
track,/trk/,n. 跑道；足迹；铁路轨道 vt. & vi. 追踪；跟踪
track and field,,田径
gym,/dIm/,n. 健身房；体育馆
gymnastics,/dImnstIks/,n. 体操（训练）
work out,,锻炼；计算出；解决
sweat,/swet/,vt. 使出汗；出汗弄湿 vi. 出汗；流汗 n. 汗水；出汗
make it,,获得成功；准时到达
legend,/lednd/,n. 传奇故事（或人物） ；传说
athlete,/li:t/,n. 运动员；运动健儿
master,/m:st(r)/,n. 高手；主人 vt. 精通；掌握
set an example,,树立榜样
honour,/n(r)/,n. 荣誉；尊敬；荣幸
glory,/glO:ri/,n. 荣誉；光荣；赞美
medal,/medl/,n. 奖章；勋章
championship,/tmpinIp/,n. 锦标赛；冠军赛；冠军称号
champion,/tmpin/,n. 冠军；优胜者
determination,/dIt:mIneIn/,n. 决心；决定
apart,/p:t/,adv. 分离；分开；成碎片
fall apart,,破裂；破碎；崩溃
injure,/Ind(r)/,vt. 使受伤；损害
injured,/Indd/,adj. 受伤的；有伤的
injury,/Indri/,n. 伤害；损伤
captain,/kptIn/,n. （运动队）队长；船长；机长
lose heart,,丧失信心；泄气
graceful,/greIsfl/,adj. 优美的；优雅的
strength,/streN/,n. 力量；体力
failure,/feIlj(r)/,n. 失败；失败的人（或事物）
give up,,放弃；投降
compete,/kmpi:t/,vi. 竞争；对抗
make sense,,有道理；合乎情理；表述清楚
pretend,/prItend/,vi. & vt. 假装；装扮
pretend to do sth,,假装做某事
even if/though,,即使；虽然
million,/mIljn/,num. 一百万
cheat,/ti:t/,vi. 作弊；舞弊 vt. 欺骗；蒙骗 n. 欺骗手段；骗子
audience,/O:dins/,n. 观众；听众
positive,/pztIv/,adj. 积极的；正面的；乐观的；肯定的
slim,/slIm/,adj. 苗条的；单薄的
diet,/daIt/,n. 规定饮食；日常饮食 vi. 节食
make a difference,,有作用或影响
rather,/r:(r)/,adv. 相当；有点儿
rather than,,而不是
push-up,/pSp/,n.（especially NAmE） 俯卧撑
cut … out,,停止做（或使用、食用）；剪下
now and then,,有时；偶尔
compare … with/to …,,与……比较
jog,/dg/,vi. 慢跑 n. 慢跑
stress,/stres/,n. 压力；紧张；重音 vt. 强调；重读；使焦虑不安 vi. 焦虑不安
error,/er(r)/,n. 错误；差错
