英文,音标,中文
basis,/beIsIs/,n. 基础；根据；基点
on the basis of,,在某事的基础上；根据某事
loan,/l@Un/,n. 贷款；借款
take out a loan,,取得贷款
plastic,/k/,n. 塑料 adj. 塑料制的；塑料的
apologise,/@pQl@dZaIz/,(also apologize) vi. 道歉；谢罪
ignore,/IgnO:(r)/,vt. 忽视；对……不予理会
in return,,作为回报；作为回应
judge,/dZVdZ/,vt. & vi. 评价；评判；判断 n. 法官；审判员；裁判员
scene,/si:n/,
n.（戏剧或歌剧的）场；现场；场面,,
narrator,/n@reIt@(r)/,n.（书、戏剧或电影中的）叙述者；讲述者；（电视 节目中的）幕后解说员
narration,/n@reISn/,n. 叙述；讲述；解说
bet,/bet/,"n. 打赌；赌注 （bet, bet）vi. & vt. 下赌注；用……打赌 vt. 敢说"
make a bet,,打个赌
servant,/s3:v@nt/,n. 仆人；用人
as a matter of fact,,事实上；其实；说真的
by accident,,偶然地；意外地
sail,/seIl/,vi. & vt.（船）航行；（人）乘船航行
spot,/spQt/,vt. 看见；注意到；发现 n. 地点；处所；斑点；污迹
consulate,/kQnsj@l@t; NAmE k:ns@l@t/,n. 领事馆
dare,/de@(r)/,vi. & modal v. 胆敢；敢于
sort,/sO:t/,n. 种类；类别
mining,/maInIN/,n. 采矿；采矿业
patience,/peISns/,n. 耐心；忍耐力；毅力
to be honest,,说实话；坦率地说
ought,/O:t/,to 应该；应当
be about to do sth,,即将或正要（做某事）
indicate,/IndIkeIt/,vt. & vi. 表明；显示 vt. 象征；暗示
beneath,/bIni:T/,adv. & prep. 在（或往）……下面；在……的表面之下
postpone,/p@sp@Un/,vt. 延迟；延期；延缓
odd,/Qd/,adj. 奇怪的；怪异的；反常的
obligation,/%QblIgeISn/,n. 义务；职责；责任
intention,/IntenSn/,n. 打算；计划；意图；目的
nowhere,/n@Uwe@(r)/,adv. 无处；哪里都不
in case,,以防；以防万一
extent,/Ikstent/,n. 程度；限度；大小；范围
to … extent,,到……程度；在……程度上
opera,/Qpr@/,n. 歌剧
musical ,,n. 音乐剧 adj. 音乐的
dinosaur,/daIn@sO:(r)/,n. 恐龙
hug,/hVg/,vt. & vi. 拥抱；抱紧
pursue,,vt. 追求；致力于
duty,/dju:ti; NAmE du:ti/,n. 责任；义务；职责；值班
on duty,,值班；值勤
hesitate,/hezIteIt/,vi. 犹豫；迟疑；顾虑
sequence ,,vt. 按顺序排列 n. 顺序；一系列
eventually,/IventSu@li/,adv. 最后；终于
tailor,/teIl@(r)/,n.（男装）裁缝 vt. 专门制作；定做
clerk,/kl:k; NAmE kl3:rk/,n. 职员；文书；店员
manner,/m{n@(r)/,n. 举止；行为方式；方法；［pl.］ 礼貌；礼仪
in a … manner,,以一种……的方式；带着一副……的样子
downstairs,/%daUnste@z/,adv. 顺楼梯而下；在楼下；往楼下
stair,/ste@(r)/,n. 楼梯；梯级
aside,/@saId/,adv. 到旁边；在旁边；留；存
frown,/fraUn/,n. & vi. 皱眉
in that case,,既然那样；假使那样的话
option,/QpSn/,n. 可选择的事物；选择；选择权
broad,/brO:d/,adj. 宽阔的；广阔的；广泛的
indeed,/Indi:d/,adv. 其实；实际上；当然；确实
normal,/nO:ml/,adj. 典型的；正常的；一般的；精神正常的 n. 常态；通常标准；一般水平
willing,/wl/,adj. 愿意；乐意
be willing to do sth,,愿意或乐意做某事
element,/elIm@nt/,n. 要素；基本部分
plot,/plQt/,n. 故事情节；布局；阴谋
ambassador,/{mb{s@d@(r)/,n. 大使；使节；代表
upper-class,,adj. 上流社会的；上等阶层的
upper,/Vp@(r)/,adj. 上面的；上层的；靠上部的
the upper class,,上流社会；上等阶层
maintain,/meInteIn/,vt. 维持；保持；维修；保养
permission,/p@mISn/,n. 准许；许可；批准；许可证
permit,/p@mIt/,vt. & vi. 允许；准许；使有可能
saying,/seIIN/,n. 谚语；格言；警句
external,/Ikst3:nl/,adj. 外部的；外面的；外来的
Roderick,/rQd@rIk/,罗德里克
Oliver,/QlIv@(r)/,奥利弗
Henry Adams,/henri {d@mz/,亨利·亚当斯
The Phantom,/fnt@m/,of the Opera 《歌剧魅影》（音乐剧）
Reid,/ri:d/,里德
Todd,/tQd/,托德
Portia Langham,/p m/,波希亚·兰厄姆
