英文,音标,中文
cholera,/klr/,n. 霍乱
severe,/sv(r)/,adj. 极为恶劣的；十分严重的；严厉的
diarrhoea,/dar/,n. 腹泻
dehydration,/dihadren/,n. 脱水
frustrated,/frstretd/,adj. 懊恼的；沮丧的；失意的
once and for all,,最终地；彻底地
contradictory,/kntrdktri/,adj. 相互矛盾的；对立的；不一致的
infection,/nfekn/,n. 感染；传染
infect,/nfekt/,vt. 使感染；传染
germ,/dm/,n. 微生物；细菌；病菌
subscribe,/sbskrab/,vi. 认购（股份）；定期订购；定期交纳（会费）
subscribe to,,同意；赞同
proof,/pruf/,n. 证据；证明；检验
multiple,/mltpl/,adj. 数量多的；多种多样的
pump,/pmp/,n. 泵；抽水机；打气筒
water pump,,水泵
household,/hashld/,n. 一家人；家庭；同住一所（套）房子的人
suspect,/sspekt/,vt. & vi. 怀疑；疑有；不信任 /sspekt/ n. 犯罪嫌疑人；可疑对象
blame,/blem/,vt. 把……归咎于；责怪；指责 n. 责备；指责
handle,/hndl/,n. 把手；拉手；柄 vt. 处理；搬动；操纵（车辆、动物、工具等）
intervention,/ntvenn/,n. 介入；出面；干涉 注: 黑体部分为
link,/lk/,n. 联系；纽带 vt. 把……连接起来；相关联
raw,/r/,adj. 未煮的；生的；未经处理的；原始的
pure,/pj(r)/,adj. 干净的；纯的；纯粹的
substantial,/sbstnl/,adj. 大量的；价值巨大的；重大的
decrease,,/dikris/ n. 减少；降低；减少量 /dkris/ vt. & vi.（使大小、数量等）减少；减小；降低
thanks to,,幸亏；由于
statistic,/sttstk/,n. ［pl. -s］ 统计数字；统计资料；统计学
transform,/trnsfm/,vt. 使改观；使改变形态 vi. 改变；转变
epidemiology,/epdimildi/,n. 流行病学
microscope,/makrskp/,n. 显微镜
thinking,//,n. 思想；思维；见解
protein,/prtin/,n. 蛋白质
cell,/sel/,n. 细胞；小房间；单间牢房
virus,/s/,n. 病毒
finding,/fand/,n. 发现；调查结果；（法律）判决
initial,/nl/,adj. 最初的；开始的；第一的
vaccine,/vksin/,n. 疫苗
framework,//,n. 框架；结构
theoretical framework,,理论框架
solid,/sld/,adj. 可靠的；固体的；坚实的 n. 固体
cast,/kst/,"vt. （cast, cast）投射； 向……投以（视线、笑容等）；投掷"
shadow,/d/,n. 阴影；影子；背光处
rainbow,/renb/,n. 彩虹
pour,/p(r)/,vt. 倒出；倾泻；斟（饮料）
concrete,/kkrit/,n. 混凝土 adj. 混凝土制的；确实的；具体的
plasma,/plzm/,n. 血浆
aerospace,/erspes/,n. 航空航天工业
patriotic,/petritk/,adj. 爱国的
mechanical,/mknkl/,adj. 机械的；发动机的；机器的
mechanic,//,n. 机械师；机械修理工
break out,,（战争、打斗等不愉快的事情）突然开始；爆发
aviation,/evien/,n. 航空制造业；航空；飞行
defend,/dfend/,vt. 保卫；防守；辩解
jet,//,n. 喷气式飞机
assistant,/sstnt/,n. 助理；助手
in charge of,,主管；掌管
missile,/msal/,n. 导弹
leadership,/lidp/,n. 领导；领导地位；领导才能
trace,/tres/,vt. 追溯；追踪；查出 n. 痕迹；遗迹；踪迹
outstanding,/atstnd/,adj. 优秀的；杰出的；明显的
gifted,/ftd/,adj. 有天赋的；有天才的；天资聪慧的
come down with,,患（病）；染上（小病）
abstract,/bstrkt/,adj. 抽象的；理论上的 n. （文献等的）摘要
steady,/stedi/,adj. 稳定的；平稳的；稳步的
concept,/knsept/,n. 概念；观念
astronomer,/strnm(r)/,n. 天文学家
astronomy,/strnmi/,n. 天文学
besides,//,prep. 除……之外（还） adv. 而且；此外
brilliant,/brlint/,adj. 聪颖的；绝妙的；明亮的
furthermore,/(r)/,adv. 此外；再者
above all,,最重要的是；尤其是
fault,/flt/,n. 弱点；过错
shift,/ft/,n. 改变；转换；轮班 vi. & vt. 转移；挪动；转向
vivid,/vvd/,adj. 生动的；鲜明的；丰富的
Queen Victoria,/ktri/,维多利亚女王（英国女王）
Cambridge,/kembrd/,剑桥（英国城市）
non-Newtonian fluid,/nn ni /,非牛顿流体
the Jet Propulsion,/prpl/,Laboratory 喷气推进实验室（美国）
Stephen Hawking,/stivn hk/,史蒂芬· 霍金（英国物理学家）
the big bang theory,,大爆炸宇宙论
Fred Hoyle,/fred hl/,弗雷德· 霍伊尔（英国天文学家）
