英文,音标,中文
bounce,/bans/,vi. & vt.（使）弹起；上下晃动 n. 弹性；弹跳；活力
bounce around,,蹦来蹦去；弹来弹去
aptitude,/pttjud/,n. 天资；天赋
head start,,起步前的优势
scenario,/snri/,n. 设想；方案；预测
lawyer,/lj(r)/,n. 律师
assemble,/sembl/,vt. 组装；装配 vi. & vt. 收集；聚集；集合
drawer,/dr(r)/,n. 抽屉
a chest of drawers,,抽屉柜
breast,/brest/,n. 乳房；胸部
hydrogen,/hadrdn/,n. 氢；氢气
radium,/redim/,n. 镭
wrist,/rst/,n. 手腕；腕关节
bridegroom,/bradgrum/,n. 新郎
geometry,/dimtri/,n. 几何学；几何图形
debt,/det/,n. 债务；欠款
categorise,/ktgraz/,vt. 把……分类（加以归类）
profile,/prfal/,n. 简介；概述；侧面轮廓 vt. 扼要介绍；概述；写简介
participant,/ptspnt/,n. 参与者；参加者
code,/kd/,n. 代码；密码 vt. 编码；把……译成密码
orient,/rient/,vt. 使适应；使面对；确定方向
detective,/dtektv/,n. 侦探；警探
graphic,/grfk/,n. 图表；图形；图画 adj. 绘画的；图案的
estate,/stet/,n. 庄园；住宅区；工业区 （real）estate agent 房地产经纪人
accountant,/kantnt/,n. 会计；会计师
spy,/spa/,n. 密探；间谍 vi. 从事间谍活动 vt. 突然看见；发现
justice,/dsts/,n. 公平；公正；合理
accuse,/kjuz/,vt. 控告；控诉；谴责
come to a conclusion,,得出结论
greedy,/gridi/,adj. 贪婪的；贪心的
entrepreneur,/ntrprn(r)/,n. 创业者；企业家
receptionist,/rsepnst/,n. 接待员
CV,/sivi/,(NAmE résumé /rezjume; rezme/) n. 履历；简历
socialist,/slst/,adj. 社会主义的 n. 社会主义者
communist,/kmjnst/,adj. 共产主义的 n. 共产主义者
dedicate,/dedket/,vt. 把……奉献给
fox,/fks/,n. 狐狸；狡猾的人
council,/kansl/,n. 委员会；市政服务机构
canal,/knl/,n. 运河；灌溉渠
attend to,,关怀；照料；处理
supervise,/supvaz/,vt. & vi. 主管；指导；监督
handwriting,/hndrat/,n. 书法；书写；笔迹
disk (disc),/dsk/,n. 磁盘；盘
parking,/pk/,n. 停车位；停车
camel,/kml/,n. 骆驼
fry,/fra/,n. 油煎的食物 vt. & vi. 油炸；油炒；油煎
purse,/ps/,n. 钱包；皮夹子（尤指女用）
sew,/s/,"vi. & vt. （sewed, sewn/sewed）缝制；缝； 做针线活"
knit,/nt/,vt. & vi. 编织；针织；（使）紧密结合 n. 编织的衣服；针织衫
wool,/wl/,n. 毛；毛线；毛料
intermediate,/ntmidit/,adj. 中级的；中等的；中间的
priority,/prarti/,n. 优先事项；首要的事；优先
proficiency,/prfnsi/,n. 熟练；娴熟；精通
cage,/ked/,n. 笼子 vt. 关在笼子里
collar,/kl(r)/,n. （动物）颈圈；衣领
flea collar,,灭蚤颈圈
finance,/fanns; fanns/,n. 资金；财政；金融 vt. 提供资金
receipt,/rsit/,n. 收据；接收
certificate,/stfkt/,n. 合格证书；证明
employer,/mpl(r)/,n. 雇主；老板
desert,/dezt/,n. 沙漠；荒漠
acquire,/kwa(r)/,vt. 获得；购得
Marie Curie,/mri kjri/,玛丽·居里（居里夫人）
The Communist Manifesto,/mnfest/,《共产党宣言》
Olivia,/lvi/,奥利维娅
PETS,,(Public English Test System) 全国英语等级考试
