英文,音标,中文
tale,/tel/,n. 故事；叙述
merchant,/mtnt/,n. 商人；批发商 adj. 海上货运的
set sail,,起航；开航
extend,/kstend/,vt. 扩展；使伸长；延长
negotiate,/ngiet/,vt. 商定；达成（协议） vi. 谈判；磋商；协商
fleet,/flit/,n. 舰队；机群；车队
behold,/bhld/,"vt. （beheld, beheld） 看；看见"
league,/lig/,n. 等级；水平；联合会；联赛
in a league of one’s own,,独领风骚
royal,/rl/,adj. 皇家的；王室的；高贵的
spice,/spas/,n. （调味）香料
withdraw,/wdr/,"vi. & vt. （withdrew, withdrawn） （使）撤回；撤离"
withdraw from,,退出；撤回
channel,/tnl/,n. 航道；海峡；频道
maritime,/mrtam/,adj. 海的；海运的；海事的
bond,/bnd/,n. 纽带；关系 vt. & vi. 增强信任关系；使牢固结合
in hand,,在手头；可供使用
politics,/pltks /,n. 政治；政治观点
profession,/prfen/,n. 职业；行业
tournament,/tnmnt/,n. 锦标赛；联赛
mixture,/mkst(r)/,n. 混合；结合体；混合物
laptop,/lptp/,n. 笔记本电脑；便携式电脑
coverage,/kvrd/,n. 新闻报道；覆盖范围
press conference,,记者招待会；新闻发布会
applaud,/pld/,vt. & vi. 鼓掌 vt. 称赞；赞赏
tax,/tks/,vt. 对……征税；使纳税 n. 税；税款
manned,/mnd/,adj. 有人控制的；需人操纵的
submersible,/sbmsbl/,n. 潜水器；可潜船
underwater,/ndwt(r)/,adv. 在水下 adj. 水下的
capsule,/kpsjul/,n. 胶囊；太空舱
coral,/krl/,n. 珊瑚
migration,/magren/,n. 迁移；迁徙；移居
directory,/drektri/,n. 名录；电话号码簿； （计算机文件或程序的）目录
meanwhile,/minwal/,adv. 与此同时；（比较两方面）对比之下
exploit,/ksplt/,vt. 开发；利用；剥削
gallon,/gln/,n. 加仑（容积单位，1 英制加仑约等于4.5 升）
murder,/md(r)/,vt. 谋杀；凶杀；毁坏 n. 谋杀；凶杀
mercy,/msi/,n. 仁慈；宽恕；恩惠
possession,/pzen/,n. [usually pl.] 个人财产； 拥有；控制
opponent,/pnnt/,n. 反对者；对手；竞争者
log,/lg; NAmE lg/,vt. 把……载入正式记录；记录 n. 正式记录；日志；原木
marine,/mrin/,adj. 海的；海产的；海生的
arrest,/rest/,n. 逮捕；拘留；中止 vt. 逮捕；拘留；阻止
Marco Polo,/mk pl/,马可·波罗
Columbus,/klmbs/,哥伦布
Ceylon,/sln/,锡兰（斯里兰卡的旧称）
Churchill,/t:tl/,丘吉尔
Ferdinand Magellan,/fdnnd mgeln/,费迪南德·麦哲伦
Zac Sunderland,/zk sndlnd/,扎克·桑德兰
Robin Lee Graham,/rbn li grem/,罗宾·李·格雷厄姆
