英文,音标,中文
Confucius,/knfju:Ss/,孔子
mansion,/mnSn/,n. 公馆；宅第
cemetery,/semtri/,n. 墓地；公墓
philosophy,/flsfi/,n. 哲学
descendant,/dsendnt/,n. 后裔；后代；子孙
individual,/ndvdul/,adj. 单独的；个别的 n. 个人
heel,/hi:l/,n. 足跟；（脚、袜子、鞋等的）后跟
Achilles’,/kIli:z/,heel （喻）（希腊神话） 阿喀琉斯的脚跟，致命的弱点
kingdom,/kdm/,n. 王国；领域
chief,/tif/,adj. 最重要的；最高级别的 n. （公司或机构的）首领；酋长
puzzle,/pzl/,n. 谜；智力游戏；疑问 vt. 迷惑；使困惑
nearby,/nba/,adj. 附近的；邻近的 adv. 在附近
join … to …,,把……和……连接或联结起来
break away,,(from sb/sth) 脱离；背叛；逃脱
belong,/bl/,vi. 应在（某处）；适应
belong to,,属于
as well as,,同（一样也）；和；还
currency,/krnsi/,n. 通货；货币
military,/mltri/,adj. 军事的；军用的
defence,/dfens/,n. 防御；保卫
legal,/lil/,adj. 法律的；合法的
surround,/srand/,vt. 围绕；包围
evidence,/evIdns/,n. 证据；证明
location,/lken/,n. 地方；地点；位置
conquer,/kNk(r)/,vt. 占领；征服；控制
battle,/btl/,n. 战役；搏斗 vi. & vt. 搏斗；奋斗
port,/pt/,n. 港口（城市）
fascinating,/fsIneItIN/,adj. 极有吸引力的；迷人的
keep your eyes open,,(for) 留心；留意
charge,/td/,n. 收费；指控；主管 vt. 收费；控告；充电
announce,/nans/,vt. 宣布；通知；声称
amount,/mant/,n. 金额；数量
gallery,/lri/,n. （艺术作品的）展览馆；画廊
approach,/prt/,n. 方法；途径；接近 vt. 接近；接洽；着手处理 vi. 靠近
ensure,/n(r)/,vt. 保证；确保；担保
landscape,/lndskep/,n. （陆上，尤指乡村的）风景
generous,/denrs/,adj. 慷慨的；大方的；丰富的
butter,/bt(r)/,n. 黄油；奶油 vt. 涂黄油于
honey,/hni/,n. 蜂蜜
ancestor,/nsest(r)/,n. 祖宗；祖先
position,/pzn/,n. 位置；姿态；职位 vt. 安装；安置
courtyard,/kO:tj:d/,n. 庭院；院子
snack,/snk/,n. 点心；小吃
eager,/i(r)/,adj. 热切的；渴望的
poet,/pUIt/,n. 诗人
county,/kanti/,n. （英国、爱尔兰的）郡；（美国的）县
feast,/fist/,n. 盛宴；宴会；节日
roll,/rl/,vi. & vt. （使）翻滚；（使）滚动 n. 卷（轴）；翻滚
dot,/dt/,n. 点；小（圆）点 vt. 加点；遍布
cattle,/ktl/,n. 牛
roar,/rO:(r)/,vi. & n. 吼叫；咆哮
ocean,/n/,n. 大海；海洋
scent,/sent/,n. 气味；气息
greet,/rit/,vt. 问候；迎接
pub,/pb/,n. 酒吧；酒馆
wine,/wan/,n. 葡萄酒；果酒
beer,/b(r)/,n. （一杯）啤酒
stew,/stju:/,n. 炖菜（有肉和蔬菜） vt. & vi. 炖；煨
custom,/kstm/,n. 风俗；习俗；习惯
sensory,/sensri/,adj. 感觉的；感官的
striking,/strak/,adj. 引人注目的；显著的
transition,/trnzn; -sn/,n. 过渡；转变；变迁
achievement,/tivmnt/,n. 成就；成绩；达到
crowd,/krad/,n. 人群；一群人；民众 vt. 挤满；使……拥挤
Wales,/welz/,威尔士（英国）
Scotland​/sktlnd/,,苏格兰（英国）
Northern Ireland,/nn alnd/,北爱尔兰（英国）
Anglo-Saxon,/glsksn/,盎格鲁—撒克逊人
Viking,/vak/,n. 维京人；北欧海盗
the Normans,/nmnz/,诺曼人
Battle of Hastings,/heIstINz/,黑斯廷斯战役
Roman,/rmn/,adj. 古罗马的；罗马的 n. 古罗马人；罗马市民
Van Gogh,/vn gf/,梵高（荷兰画家）
the Emerald Isle,/emrld aIl/,绿宝石岛（爱尔兰的别称）
Irish,/aIrIS/,adj. 爱尔兰的；爱尔兰人（或语）的 n. 爱尔兰语
